locality_name;district_name;province_name
Lezama;Lezama;Provincia de Buenos Aires
Carhué;Adolfo Alsina;Provincia de Buenos Aires
Colonia San Miguel Arcángel;Adolfo Alsina;Provincia de Buenos Aires
Delfín Huergo;Adolfo Alsina;Provincia de Buenos Aires
Espartillar;Adolfo Alsina;Provincia de Buenos Aires
Esteban Agustín Gascón;Adolfo Alsina;Provincia de Buenos Aires
La Pala;Adolfo Alsina;Provincia de Buenos Aires
Maza;Adolfo Alsina;Provincia de Buenos Aires
Rivera;Adolfo Alsina;Provincia de Buenos Aires
Thames;Adolfo Alsina;Provincia de Buenos Aires
Villa Margarita;Adolfo Alsina;Provincia de Buenos Aires
Yutuyaco;Adolfo Alsina;Provincia de Buenos Aires
Adolfo Gonzales Chaves (Est. Chaves);Adolfo Gonzales Chaves;Provincia de Buenos Aires
De La Garma;Adolfo Gonzales Chaves;Provincia de Buenos Aires
Juan E. Barra;Adolfo Gonzales Chaves;Provincia de Buenos Aires
Vásquez;Adolfo Gonzales Chaves;Provincia de Buenos Aires
Alberti (Est. Andrés Vaccarezza);Alberti;Provincia de Buenos Aires
Coronel Seguí;Alberti;Provincia de Buenos Aires
Mechita;Alberti;Provincia de Buenos Aires
Pla;Alberti;Provincia de Buenos Aires
Villa Grisolía (Est. Achupallas);Alberti;Provincia de Buenos Aires
Villa María;Alberti;Provincia de Buenos Aires
Villa Ortiz (Est. Coronel Mom);Alberti;Provincia de Buenos Aires
Almirante Brown;Almirante Brown;Provincia de Buenos Aires
Avellaneda;Avellaneda;Provincia de Buenos Aires
Ayacucho;Ayacucho;Provincia de Buenos Aires
La Constancia;Ayacucho;Provincia de Buenos Aires
Solanet;Ayacucho;Provincia de Buenos Aires
Udaquiola;Ayacucho;Provincia de Buenos Aires
Ariel;Azul;Provincia de Buenos Aires
Azul;Azul;Provincia de Buenos Aires
Cacharí;Azul;Provincia de Buenos Aires
Chillar;Azul;Provincia de Buenos Aires
"16 de Julio";Azul;Provincia de Buenos Aires
Bahía Blanca;Bahía Blanca;Provincia de Buenos Aires
Cabildo;Bahía Blanca;Provincia de Buenos Aires
General Daniel Cerri (Est. General Cerri);Bahía Blanca;Provincia de Buenos Aires
Balcarce;Balcarce;Provincia de Buenos Aires
Los Pinos;Balcarce;Provincia de Buenos Aires
Napaleofú ;Balcarce;Provincia de Buenos Aires
Ramos Otero;Balcarce;Provincia de Buenos Aires
San Agustín;Balcarce;Provincia de Buenos Aires
Villa Laguna La Brava;Balcarce;Provincia de Buenos Aires
Baradero;Baradero;Provincia de Buenos Aires
Irineo Portela;Baradero;Provincia de Buenos Aires
Santa Coloma;Baradero;Provincia de Buenos Aires
Villa Alsina (Est. Alsina);Baradero;Provincia de Buenos Aires
Arrecifes;Arrecifes;Provincia de Buenos Aires
Todd;Arrecifes;Provincia de Buenos Aires
Viña;Arrecifes;Provincia de Buenos Aires
Barker;Benito Juárez;Provincia de Buenos Aires
Benito Juárez (Est. Juárez);Benito Juárez;Provincia de Buenos Aires
López;Benito Juárez;Provincia de Buenos Aires
Tedín Uriburu;Benito Juárez;Provincia de Buenos Aires
Villa Cacique (Est. Alfredo Fortabat);Benito Juárez;Provincia de Buenos Aires
Berazategui;Berazategui;Provincia de Buenos Aires
Berisso;Berisso;Provincia de Buenos Aires
